ID,Langue,Argument,Section,Clé,Sourate,Verset,Arabe,Français,Anglais,Traduction cible,Statut,Notes
"ce:argument-1:theirArgument:verse-1","ce","1","theirArgument","arguments[0].theirArgument.verses[0].translation","Сурат Al-Anʿâm","38","مَّا فَرَّطْنَا فِي الْكِتَابِ مِن شَيْءٍ","« Nous n'avons rien omis dans le Livre. »","","ХIумма а диц ца дина Оха кху жайни чохь.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-1:theirArgument:verse-2","ce","1","theirArgument","arguments[0].theirArgument.verses[1].translation","Сурат Al-Anʿâm","114","كِتَابًا مُّفَصَّلًا","« Un Livre exposé en détail. »","","къастош долу жайна","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-1:theirArgument:verse-3","ce","1","theirArgument","arguments[0].theirArgument.verses[2].translation","Сурат An-Naḥl","89","وَنَزَّلْنَا عَلَيْكَ الْكِتَابَ تِبْيَانًا لِّكُلِّ شَيْءٍ","« Nous avons fait descendre sur toi le Livre comme clarification de toute chose. »","","ша массо а хIуманан билгало хилла долу","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-1:quranicArchitecture:verse-1","ce","1","quranicArchitecture","arguments[0].quranicArchitecture.verses[0].translation","Сурат An-Nisâʾ","59","أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ","« Obéissez à Allah et obéissez au Messager. »","","Шу муьтIахь хилалаш Далла‚ шу муьтIахь хилалаш элчанна а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-1:quranicArchitecture:verse-2","ce","1","quranicArchitecture","arguments[0].quranicArchitecture.verses[1].translation","Сурат An-Nisâʾ","65","حَتَّىٰ يُحَكِّمُوكَ فِيمَا شَجَرَ بَيْنَهُمْ","« Jusqu'à ce qu'ils te prennent pour juge dans leurs différends. »","","шайна юкъа доьжначун тIера хьукма хьоьга дойтуш","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-1:quranicArchitecture:verse-4","ce","1","quranicArchitecture","arguments[0].quranicArchitecture.verses[3].translation","Сурат Al-Aḥzâb","21","لَّقَدْ كَانَ لَكُمْ فِي رَسُولِ اللَّهِ أُسْوَةٌ حَسَنَةٌ","« Vous avez certes dans le Messager d'Allah un excellent modèle. »","","Баккъалла а, шуна хилира Делан элчанехь хаза мисал.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-2:theirArgument:verse-1","ce","2","theirArgument","arguments[1].theirArgument.verses[0].translation","Сурат An-Nisâʾ","59","أَطِيعُوا اللَّهَ وَأَطِيعُوا الرَّسُولَ","« Obéissez à Allah et obéissez au Messager. »","","Шу муьтIахь хилалаш Далла‚ шу муьтIахь хилалаш элчанна а.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-2:theirArgument:verse-2","ce","2","theirArgument","arguments[1].theirArgument.verses[1].translation","Сурат An-Nisâʾ","80","مَّن يُطِعِ الرَّسُولَ فَقَدْ أَطَاعَ اللَّهَ","« Celui qui obéit au Messager a certes obéi à Allah. »","","Элчанна муьтIахь хилларг – Далла муьтIахь хилла.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-2:quranicArchitecture:verse-1","ce","2","quranicArchitecture","arguments[1].quranicArchitecture.verses[0].translation","Сурат An-Nisâʾ","65","فَلَا وَرَبِّكَ لَا يُؤْمِنُونَ حَتَّىٰ يُحَكِّمُوكَ فِيمَا شَجَرَ بَيْنَهُمْ ثُمَّ لَا يَجِدُوا فِي أَنفُسِهِمْ حَرَجًا مِّمَّا قَضَيْتَ وَيُسَلِّمُوا تَسْلِيمًا","« Non ! Par ton Seigneur ! Ils ne seront pas croyants tant qu'ils ne t'auront pas pris pour juge dans leurs litiges, et qu'ils n'éprouvent nulle gêne envers ce que tu as tranché, et qu'ils s'y soumettent totalement. »","","Хьан Кхиош-кхобуш волчу (Деллара) ма бац уьш (Делах) тешаш шайна юкъа доьжначун тIера хьукма хьоьга дойтуш бацахь‚ тIаккха ахьа йинчу кхиэлана шайгахь хIумма новкъарло ца караеш‚ шаьш цунна муьтIахь хуьлуш бацахь.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
"ce:argument-2:quranicArchitecture:verse-2","ce","2","quranicArchitecture","arguments[1].quranicArchitecture.verses[1].translation","Сурат An-Nûr","63","فَلْيَحْذَرِ الَّذِينَ يُخَالِفُونَ عَنْ أَمْرِهِ","« Que ceux qui s'opposent à son ordre prennent garde... »","","Ларлойла и цуьнан /элчанан/ омрана хилпало еш берш.","needs_native_review","Traduction française détectée dans le pack actif. Traduction native et relecture religieuse requises avant import."
